,N,N_std,DeltaG,DeltaG_std,DeltaH,DeltaH_std,DeltaS,DeltaS_std,P0,P0_std
Mg1EDTAp1a,0.786,0.0022,-8.9733228248,0.8989133960803163,-2.394,0.23971065892029084,0.0220671569,0.0001833671,0.0786,0.00022
Mg1EDTAp1b,0.825,0.002,-9.0023795198,0.9015840898681253,-2.33,0.23320980275280026,0.0223792706,0.0001684809,0.0825,0.0002
Mg1EDTAp1c,0.828,0.0017,-9.0156611821,0.902558849906918,-2.253,0.22544448296642794,0.0226820767,0.0001445008,0.0828,0.00017
Mg1EDTAp1d,1.04,0.0057,-9.0726614499,0.915602000377414,-2.335,0.23460080988777512,0.0225982272,0.000420397,0.104,0.00057
Mg1EDTAp1e,0.935,0.0058,-9.2310577787,0.9355655129844814,-2.345,0.23599258462926334,0.023095951,0.000518093,0.0935,0.00058
Mgp5EDTAp05a,1.14,0.0049,-8.9427673077,0.8967100175092321,-2.323,0.2328641878864159,0.0222028083,0.0002279849,0.057,0.000245
Mgp5EDTAp05b,0.97,0.0027,-8.8142598798,0.8821981312183024,-2.239,0.22410915286975677,0.0220535297,0.0001279579,0.0485,0.000135
Mgp5EDTAp05c,1.05,0.0048,-8.9717533275,0.8998362193119792,-2.184,0.21899262544661183,0.0227662362,0.0002381317,0.0525,0.00024
Mgp5EDTAp05e,0.781,0.0038,-8.85772826,0.8877394574719412,-2.85,0.28578000279935617,0.0201500193,0.000210344,0.03905,0.00019
Mgp5EDTAp05f,0.959,0.0026,-9.0831714355,0.909333039803313,-2.146,0.21480708763911865,0.023267387,0.0001475565,0.04795,0.00013
Mgp5EDTAp05g,0.931,0.0036,-8.9088047216,0.8924220755569479,-2.05,0.20536866849643837,0.0230045438,0.0001806329,0.04655,0.00018
Mgp5EDTAp05h,0.992,0.0046,-9.1461165874,0.9181732184659004,-2.041,0.20519807503970403,0.0238306778,0.000280156,0.0496,0.00023
Mgp5EDTAp05i,0.986,0.0016,-8.9670197345,0.8970167769435985,-2.16,0.21607493167880445,0.0228308561,8.19537e-05,0.0493,8e-05
Mgp5EDTAp05j,1.02,0.003,-8.9606488677,0.897185939784813,-2.132,0.21343910138491498,0.0229034005,0.0001541512,0.051,0.00015
