,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
Mg1EDTAp1a,0.0791658457935531,-9.053550062326456,-2.3414633830540224,-0.9215509596096407,0.00025069954089353114,0.9074357278524982,0.23473543752059234,0.11246027185150327
Mg1EDTAp1b,0.08296707102975867,-9.046410091526479,-2.302566795169848,-0.8673056028605275,0.00014713087793897733,0.9054293586676507,0.23046089956117857,0.06696190328927568
Mg1EDTAp1c,0.08337597852410711,-9.019794062284785,-2.2444379463348487,-0.6733335863854019,0.00016696069041562968,0.9029438961487288,0.22469492416351114,0.07347093699286905
Mg1EDTAp1d,0.10480313314423927,-9.135250488543274,-2.2952853656551033,-1.0111397523752332,0.0005366574213081061,0.9218387266715308,0.23181689182354906,0.26246705389441954
Mg1EDTAp1e,0.0938227255854399,-9.342370861655239,-2.290734399489725,-1.172340909254752,0.0004947044569161446,0.9469534045831715,0.23149596198893005,0.2543683934065467
Mgp5EDTAp05a,0.05714774536972115,-8.98196547609706,-2.2908686047087166,-0.877368144102196,0.00038073817722697137,0.9045412321077826,0.23236307203208972,0.1543190902806455
Mgp5EDTAp05b,0.04892995729978682,-8.805185207640365,-2.236111773144805,-0.5884461006274483,0.0002582127134833764,0.8832327449888159,0.2251093162520258,0.09091125435916153
Mgp5EDTAp05c,0.05280802894436336,-8.998321256605434,-2.161283661293298,-0.681707576144386,0.0003614651723319484,0.9062628207367426,0.2190521759033592,0.13443722001694286
Mgp5EDTAp05e,0.03964971976855942,-8.773696790531362,-2.8966700799581613,-2.405997582698582,0.0006220379215982501,0.8963711089310329,0.3030783171270523,0.26699228144310067
Mgp5EDTAp05f,0.04839581398246579,-9.049597882052447,-2.1564887922727567,-0.8170880052396279,0.00030122040997469687,0.9102814654146351,0.2178568260926081,0.11048223229432298
Mgp5EDTAp05g,0.04705808343112692,-8.865090015956195,-2.0658557674114446,-0.49013647162326834,0.0003913115577166589,0.8936185706522274,0.20994409404342618,0.12839006496309885
Mgp5EDTAp05h,0.050536582899561755,-9.323175303202465,-1.9222087303910578,-0.5880184452495343,0.0005376484416034535,0.9563752013281388,0.19910003034692755,0.19463383548742988
Mgp5EDTAp05i,0.04984303846739186,-8.924359099551003,-2.174725918504494,-0.6237597338659776,0.00025302997983629,0.8954569410373936,0.21892424071039554,0.09056351114330798
Mgp5EDTAp05j,0.05161051433925739,-8.940715416651184,-2.1342876343187593,-0.711435141100914,0.0003012443171810766,0.8983011422221199,0.21541617047089057,0.1077284437657083
